country code|smsin|smsout|callin|callout|internet
235|4.9811|2.3627|62.0042|3.8942|1338.8684
42|4.2775|1.6079|80.4964|10.4508|249.3172
45|3.5996|1.2633|83.6719|35.8166|1398.5598
101|0.6372|3.7936|29.8669|43.846|1103.04
201|1.8746|1.157|41.3406|8.6475|403.248
250|4.7363|0.5942|22.7433|95.9726|1337.8202
79|2.7569|3.1946|95.5705|62.0452|252.9067
222|1.7227|3.2007|90.5938|87.8705|247.8842
91|1.7235|0.6442|73.0002|97.5871|917.0309
108|1.47|0.1385|43.8562|13.4294|393.2895
22|2.3164|2.8217|39.2899|84.6478|676.5128
105|1.0906|1.7186|58.5678|90.6892|405.1521
84|3.3817|2.076|27.5424|4.6488|156.7451
22|0.974|3.4826|56.3517|20.0691|1088.2363
248|4.1587|3.9832|61.5601|72.9845|1111.0359
161|1.9114|0.6419|37.3521|90.5918|1053.0554
1|4.644|4.4942|45.1338|48.4687|1077.7103
13|1.7255|2.4996|61.3672|35.3982|1131.8683
113|1.2842|0.1122|12.7955|65.9278|1331.4897
98|0.8413|2.1599|92.5253|50.8631|103.2007
152|2.3153|4.1066|63.152|75.8646|6.0602
21|4.6728|1.9457|83.3786|95.2788|271.2992
57|0.4601|1.4993|59.2408|36.6054|356.224
46|4.939|0.7971|81.9826|40.8053|1243.1342
156|1.5353|4.4598|56.4786|42.9056|621.0947
162|1.2678|3.8251|47.819|47.5961|555.002
40|0.7718|3.4591|98.1084|24.4421|782.7968
90|0.1402|1.8716|26.0288|43.2232|1403.9892
109|4.5776|2.3363|87.8677|53.3397|781.4379
235|4.9363|2.4799|17.1537|68.8037|1493.4686
236|0.0143|0.527|85.0983|16.0422|1005.6432
217|0.0916|3.415|99.2818|93.2799|1012.3883
208|4.0164|1.8083|61.5482|9.4744|1378.9306
59|3.9255|1.5819|98.0891|71.1404|1275.7931
63|2.3467|3.8515|37.6025|44.4776|1450.1205
151|0.6971|0.2688|74.5946|47.1731|254.7695
109|4.4364|0.4851|90.3223|46.2892|813.9157
219|2.7888|2.3068|19.3154|57.2464|529.8371
206|2.2227|1.6465|87.8394|91.0773|498.1648
5|0.0762|2.5495|78.6099|31.2245|95.7052
167|2.7189|0.6657|18.1906|1.9503|709.0003
72|2.0679|4.8783|18.0488|92.6739|1192.6404
94|4.7117|0.1734|13.8094|96.9439|1225.5945
129|0.6501|1.8329|80.5473|89.211|1459.4041
53|2.6092|4.2102|25.8584|35.6434|657.8617
229|1.9235|1.1093|23.9998|4.0365|1173.9036
80|4.8247|0.5074|20.663|11.6255|1261.1288
16|4.8733|4.4851|37.7044|24.5897|191.3444
211|1.6078|3.8968|17.8644|24.3279|270.7892
5|0.1194|1.5476|57.2739|8.0041|1046.4837
8|4.9522|1.5012|25.5107|72.8265|628.6147
205|3.2754|2.8467|12.971|4.9434|1208.2974
187|3.9823|3.0706|71.6896|59.6145|287.0152
30|4.0247|2.5454|56.1842|25.6507|1348.1233
71|0.9391|1.4996|64.7929|39.25|1228.3453
45|3.5596|2.2741|72.3585|89.9965|1289.9425
58|0.6299|4.9154|81.0847|43.0963|143.2891
176|1.1087|3.5314|82.3197|48.229|879.9009
138|3.8858|0.5847|14.601|5.474|441.5038
71|1.0076|4.9823|58.5484|47.1879|1189.6861
0|3.2914|2.4028|33.3119|15.0822|884.0977
213|3.0557|3.8251|59.4347|34.6905|613.6206
110|4.294|4.8161|84.8775|78.3923|282.3941
226|1.823|4.152|49.4225|18.3659|1293.8326
